,Monthly Charge,Total Charges,Churn Label,Gender_Female,Gender_Male,Senior Citizen_No,Senior Citizen_Yes,Married_No,Married_Yes,Dependents_No,Dependents_Yes,Phone Service_No,Phone Service_Yes,Multiple Lines_No,Multiple Lines_Yes,Internet Service_No,Internet Service_Yes,Online Security_No,Online Security_Yes,Online Backup_No,Online Backup_Yes,Device Protection Plan_No,Device Protection Plan_Yes,Premium Tech Support_No,Premium Tech Support_Yes,Streaming TV_No,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_Yes,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Paperless Billing_No,Paperless Billing_Yes,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Tenure_group_1 - 12,Tenure_group_13 - 12,Tenure_group_25 - 12,Tenure_group_37 - 12,Tenure_group_49 - 12,Tenure_group_61 - 12
25,19.95,214.75,1,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False
26,85.45,4874.7,1,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False
27,81.35,233.7,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
28,75.3,75.3,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
29,28.45,131.05,1,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False
30,94.1,1782.4,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
31,74.35,334.8,1,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
32,75.2,1929.35,1,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False
33,89.2,346.2,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
34,85.7,85.7,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
35,105.25,6786.4,1,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True
36,90.05,4547.25,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False
37,110.75,4687.9,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
38,104.55,5794.65,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False
39,94.55,1899.65,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
40,89.5,161.5,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False
41,19.65,164.3,1,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False
42,49.15,2550.9,1,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False
43,49.25,91.1,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
44,94.5,3105.55,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False
45,91.7,2758.15,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
46,98.55,1842.8,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
47,110.0,4874.8,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False
48,95.6,644.35,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
49,78.85,292.8,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
50,100.0,5509.3,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False
51,73.65,1463.5,1,False,True,False,True,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
52,100.5,918.6,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
53,72.85,688.65,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
54,73.55,73.55,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
55,79.4,205.05,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
56,84.6,360.1,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
57,99.05,3395.8,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False
58,44.95,85.15,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False
59,100.3,832.35,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False
60,30.35,1359.7,1,False,True,False,True,False,True,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False
61,103.75,6383.35,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True
62,80.6,2656.5,1,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False
63,94.3,424.45,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
64,75.5,1893.95,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False
65,100.6,819.4,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
66,88.3,273.75,1,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False
67,92.1,729.95,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
68,90.45,1266.1,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False
69,43.65,526.95,1,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
70,74.3,940.35,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
71,89.7,1047.7,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False
72,100.45,1622.45,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False
73,105.65,4284.8,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
74,104.05,1133.65,1,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
75,80.4,224.05,1,True,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
76,60.05,1236.15,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
77,96.15,1529.2,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
78,95.25,4424.2,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False
79,89.6,6127.6,1,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True
80,89.5,676.7,1,False,True,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
81,85.6,1345.55,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
82,86.6,1281.0,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
83,69.25,69.25,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
84,25.2,25.2,1,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
85,95.05,1290.0,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
86,79.2,79.2,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
87,94.25,3217.55,1,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False
88,99.8,442.85,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False
89,93.85,170.85,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
90,84.4,732.5,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False
91,75.55,349.65,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
92,96.7,2082.95,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
93,88.2,1775.8,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
94,75.65,1146.65,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False
95,74.7,74.7,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
96,25.8,25.8,1,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False
97,95.35,898.35,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
98,45.0,127.1,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False
99,80.45,950.2,1,False,True,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
100,74.7,165.4,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
101,88.8,88.8,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
102,89.05,1169.35,1,False,True,False,True,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
103,94.75,2293.6,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
104,85.35,1463.45,1,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
105,45.05,770.6,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
106,84.65,3541.35,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False
107,79.1,79.1,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
108,50.15,50.15,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False
109,69.6,69.6,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
110,113.2,4689.5,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
111,90.5,1201.15,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
112,85.0,2642.05,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False
113,85.3,2661.1,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False
114,44.85,2572.95,1,False,True,False,True,False,True,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False
115,45.1,45.1,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False
116,43.3,43.3,1,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
117,57.15,2250.65,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False
118,100.5,3653.35,1,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False
119,45.1,45.1,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False
120,50.4,1527.5,1,False,True,False,True,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False
121,78.95,378.4,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False
122,93.55,93.55,1,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
123,108.85,6287.25,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False
124,84.75,1350.15,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
125,69.95,69.95,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
126,81.0,371.65,1,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
127,96.8,2030.3,1,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
128,108.15,4600.7,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False
129,93.2,2931.0,1,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False
130,70.55,70.55,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
131,98.5,3004.15,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False
132,95.25,1233.65,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False
133,74.4,527.9,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
134,88.55,179.25,1,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
135,91.3,91.3,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
136,70.1,467.55,1,False,True,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
137,95.25,5427.05,1,False,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False
138,100.8,100.8,1,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False
139,76.45,1233.4,1,False,True,False,True,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False
140,86.85,220.95,1,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False
